Austria,    12,  6,  3,  3,  4,  7,  5,  3, 12,  8,  4,  3
Bulgaaria,   8,  3,  6, 10,  7,  3,  6,  2,  7,  6,  8,  5
Eesti,      10,  7,   ,  8, 12,  6, 10,  6,  3,  2,  2,  1
Horvaatia,   5,  2,  8,  2,  5,  8,   ,  8, 10,  7,  1,  7
Itaalia,     2, 12,  4,  6,  3,  5,   ,  5,  8,   ,  5,
Kreeka,      3,   ,  5,   ,   , 12,  2, 12,   ,  3,  7,  2
Malta,       7,   ,   ,  7,  6,  2, 12,   ,  6,   ,   , 12
Norra,       6,  8, 12,   , 10, 10,  8,   ,  1, 10,  3,  8
Prantsusmaa, 1,  5,  2, 12,  2,   ,  4,  7,   , 12, 12,  6
Rootsi,       , 10,  1,  1,  8,  1,  3,  4,  5,  1,   ,  4
Saksamaa,     ,  1, 10,  5,  1,  4,  7, 10,  2,  4,  6,
Taani,       4,  4,  7,  4,   ,   ,  1,  1,  4,  5, 10, 10
